Results after 50 rounds:
Global Model results:
{'loss': 0.9038, 'accuracy': 0.7084, 'f1': 0.9111, 'accuracy_binary': 0.9128, 'recall': 0.8817, 'precision': 0.9425}


Independent clients results:
Client 0: {'loss': 4.4107, 'accuracy': 0.6812, 'f1': 0.8604, 'accuracy_binary': 0.8665, 'recall': 0.8118, 'precision': 0.9152}
Client 1: {'loss': 3.0117, 'accuracy': 0.673, 'f1': 0.8901, 'accuracy_binary': 0.8856, 'recall': 0.914, 'precision': 0.8673}
Client 2: {'loss': 6.3232, 'accuracy': 0.5041, 'f1': 0.8176, 'accuracy_binary': 0.8311, 'recall': 0.7473, 'precision': 0.9026}
Client 3: {'loss': 5.4097, 'accuracy': 0.5341, 'f1': 0.849, 'accuracy_binary': 0.8556, 'recall': 0.8011, 'precision': 0.903}
Client 4: {'loss': 6.1515, 'accuracy': 0.5177, 'f1': 0.8621, 'accuracy_binary': 0.8692, 'recall': 0.8065, 'precision': 0.9259}
Client 5: {'loss': 3.0578, 'accuracy': 0.7139, 'f1': 0.9014, 'accuracy_binary': 0.9046, 'recall': 0.8602, 'precision': 0.9467}
Client 6: {'loss': 9.0093, 'accuracy': 0.5014, 'f1': 0.9061, 'accuracy_binary': 0.9074, 'recall': 0.8817, 'precision': 0.9318}
Client 7: {'loss': 3.9178, 'accuracy': 0.6785, 'f1': 0.8674, 'accuracy_binary': 0.8692, 'recall': 0.8441, 'precision': 0.892}
Client 8: {'loss': 7.8547, 'accuracy': 0.5259, 'f1': 0.8975, 'accuracy_binary': 0.8992, 'recall': 0.871, 'precision': 0.9257}
Client 9: {'loss': 4.8315, 'accuracy': 0.4823, 'f1': 0.8647, 'accuracy_binary': 0.861, 'recall': 0.8763, 'precision': 0.8534}
Client 10: {'loss': 4.9977, 'accuracy': 0.6812, 'f1': 0.9, 'accuracy_binary': 0.8965, 'recall': 0.9194, 'precision': 0.8814}
Client 11: {'loss': 5.182, 'accuracy': 0.6894, 'f1': 0.8571, 'accuracy_binary': 0.8665, 'recall': 0.7903, 'precision': 0.9363}
Client 12: {'loss': 4.1687, 'accuracy': 0.6839, 'f1': 0.8827, 'accuracy_binary': 0.8856, 'recall': 0.8495, 'precision': 0.9186}
Client 13: {'loss': 5.3157, 'accuracy': 0.5422, 'f1': 0.8629, 'accuracy_binary': 0.8692, 'recall': 0.8118, 'precision': 0.9207}
Client 14: {'loss': 2.8297, 'accuracy': 0.6812, 'f1': 0.8954, 'accuracy_binary': 0.8937, 'recall': 0.8978, 'precision': 0.893}
Client 15: {'loss': 6.541, 'accuracy': 0.4959, 'f1': 0.876, 'accuracy_binary': 0.8774, 'recall': 0.8548, 'precision': 0.8983}
Client 16: {'loss': 3.7648, 'accuracy': 0.6948, 'f1': 0.8944, 'accuracy_binary': 0.8965, 'recall': 0.8656, 'precision': 0.9253}
Client 17: {'loss': 4.9849, 'accuracy': 0.515, 'f1': 0.861, 'accuracy_binary': 0.861, 'recall': 0.8495, 'precision': 0.8729}
Client 18: {'loss': 4.95, 'accuracy': 0.545, 'f1': 0.8288, 'accuracy_binary': 0.8447, 'recall': 0.7419, 'precision': 0.9388}
