Results after 50 rounds:
Global Model results:
{'loss': 0.8648, 'accuracy': 0.7003, 'f1': 0.8864, 'accuracy_binary': 0.891, 'recall': 0.8387, 'precision': 0.9398}


Independent clients results:
Client 0: {'loss': 1.7623, 'accuracy': 0.6649, 'f1': 0.8798, 'accuracy_binary': 0.8801, 'recall': 0.8656, 'precision': 0.8944}
Client 1: {'loss': 2.5974, 'accuracy': 0.6267, 'f1': 0.8378, 'accuracy_binary': 0.8501, 'recall': 0.7634, 'precision': 0.9281}
Client 2: {'loss': 1.5896, 'accuracy': 0.6267, 'f1': 0.8571, 'accuracy_binary': 0.861, 'recall': 0.8226, 'precision': 0.8947}
Client 3: {'loss': 2.059, 'accuracy': 0.6349, 'f1': 0.84, 'accuracy_binary': 0.8474, 'recall': 0.7903, 'precision': 0.8963}
Client 4: {'loss': 2.7678, 'accuracy': 0.5995, 'f1': 0.7604, 'accuracy_binary': 0.7956, 'recall': 0.6398, 'precision': 0.937}
Client 5: {'loss': 2.0924, 'accuracy': 0.6594, 'f1': 0.8427, 'accuracy_binary': 0.8556, 'recall': 0.7634, 'precision': 0.9404}
Client 6: {'loss': 2.9238, 'accuracy': 0.6349, 'f1': 0.8338, 'accuracy_binary': 0.8501, 'recall': 0.7419, 'precision': 0.9517}
Client 7: {'loss': 2.2016, 'accuracy': 0.5586, 'f1': 0.8342, 'accuracy_binary': 0.8256, 'recall': 0.8656, 'precision': 0.805}
Client 8: {'loss': 3.0289, 'accuracy': 0.6267, 'f1': 0.811, 'accuracy_binary': 0.8311, 'recall': 0.7151, 'precision': 0.9366}
Client 9: {'loss': 2.5676, 'accuracy': 0.5777, 'f1': 0.8227, 'accuracy_binary': 0.7956, 'recall': 0.9355, 'precision': 0.7342}
Client 10: {'loss': 2.2991, 'accuracy': 0.624, 'f1': 0.8242, 'accuracy_binary': 0.8338, 'recall': 0.7688, 'precision': 0.8882}
Client 11: {'loss': 2.001, 'accuracy': 0.6349, 'f1': 0.8193, 'accuracy_binary': 0.8365, 'recall': 0.7312, 'precision': 0.9315}
Client 12: {'loss': 2.927, 'accuracy': 0.6076, 'f1': 0.8596, 'accuracy_binary': 0.8665, 'recall': 0.8065, 'precision': 0.9202}
Client 13: {'loss': 1.8394, 'accuracy': 0.6185, 'f1': 0.8588, 'accuracy_binary': 0.8638, 'recall': 0.8172, 'precision': 0.9048}
Client 14: {'loss': 1.4586, 'accuracy': 0.6621, 'f1': 0.8333, 'accuracy_binary': 0.8474, 'recall': 0.7527, 'precision': 0.9333}
Client 15: {'loss': 1.9583, 'accuracy': 0.6403, 'f1': 0.8354, 'accuracy_binary': 0.8529, 'recall': 0.7366, 'precision': 0.9648}
Client 16: {'loss': 2.0052, 'accuracy': 0.6294, 'f1': 0.8668, 'accuracy_binary': 0.861, 'recall': 0.8925, 'precision': 0.8426}
Client 17: {'loss': 2.573, 'accuracy': 0.6376, 'f1': 0.8987, 'accuracy_binary': 0.8937, 'recall': 0.9301, 'precision': 0.8693}
Client 18: {'loss': 2.3569, 'accuracy': 0.6267, 'f1': 0.883, 'accuracy_binary': 0.8801, 'recall': 0.8925, 'precision': 0.8737}
