Results after 50 rounds:
Global Model results:
{'loss': 0.8656, 'accuracy': 0.6948, 'f1': 0.8671, 'accuracy_binary': 0.8747, 'recall': 0.8065, 'precision': 0.9375}


Independent clients results:
Client 0: {'loss': 1.7501, 'accuracy': 0.6567, 'f1': 0.8733, 'accuracy_binary': 0.8719, 'recall': 0.871, 'precision': 0.8757}
Client 1: {'loss': 2.7224, 'accuracy': 0.6185, 'f1': 0.8343, 'accuracy_binary': 0.8474, 'recall': 0.7581, 'precision': 0.9276}
Client 2: {'loss': 1.6381, 'accuracy': 0.6049, 'f1': 0.8555, 'accuracy_binary': 0.861, 'recall': 0.8118, 'precision': 0.9042}
Client 3: {'loss': 2.1632, 'accuracy': 0.6349, 'f1': 0.8391, 'accuracy_binary': 0.8474, 'recall': 0.7849, 'precision': 0.9012}
Client 4: {'loss': 2.9027, 'accuracy': 0.5967, 'f1': 0.7683, 'accuracy_binary': 0.8011, 'recall': 0.6505, 'precision': 0.938}
Client 5: {'loss': 1.9324, 'accuracy': 0.6594, 'f1': 0.8462, 'accuracy_binary': 0.8583, 'recall': 0.7688, 'precision': 0.9408}
Client 6: {'loss': 3.1449, 'accuracy': 0.6322, 'f1': 0.8303, 'accuracy_binary': 0.8474, 'recall': 0.7366, 'precision': 0.9514}
Client 7: {'loss': 2.2981, 'accuracy': 0.5804, 'f1': 0.8451, 'accuracy_binary': 0.8392, 'recall': 0.8656, 'precision': 0.8256}
Client 8: {'loss': 2.9629, 'accuracy': 0.6376, 'f1': 0.8024, 'accuracy_binary': 0.8229, 'recall': 0.7097, 'precision': 0.9231}
Client 9: {'loss': 2.3254, 'accuracy': 0.5749, 'f1': 0.8258, 'accuracy_binary': 0.8011, 'recall': 0.9301, 'precision': 0.7425}
Client 10: {'loss': 2.4296, 'accuracy': 0.6349, 'f1': 0.8176, 'accuracy_binary': 0.8311, 'recall': 0.7473, 'precision': 0.9026}
Client 11: {'loss': 1.939, 'accuracy': 0.6213, 'f1': 0.8179, 'accuracy_binary': 0.8338, 'recall': 0.7366, 'precision': 0.9195}
Client 12: {'loss': 2.9499, 'accuracy': 0.6185, 'f1': 0.8621, 'accuracy_binary': 0.8692, 'recall': 0.8065, 'precision': 0.9259}
Client 13: {'loss': 1.7982, 'accuracy': 0.6213, 'f1': 0.8635, 'accuracy_binary': 0.8665, 'recall': 0.8333, 'precision': 0.896}
Client 14: {'loss': 1.4505, 'accuracy': 0.6621, 'f1': 0.843, 'accuracy_binary': 0.8529, 'recall': 0.7796, 'precision': 0.9177}
Client 15: {'loss': 1.8517, 'accuracy': 0.6431, 'f1': 0.8424, 'accuracy_binary': 0.8583, 'recall': 0.7473, 'precision': 0.9653}
Client 16: {'loss': 2.0443, 'accuracy': 0.6185, 'f1': 0.8617, 'accuracy_binary': 0.8583, 'recall': 0.871, 'precision': 0.8526}
Client 17: {'loss': 2.747, 'accuracy': 0.6349, 'f1': 0.8901, 'accuracy_binary': 0.8856, 'recall': 0.914, 'precision': 0.8673}
Client 18: {'loss': 2.4066, 'accuracy': 0.6185, 'f1': 0.876, 'accuracy_binary': 0.8719, 'recall': 0.8925, 'precision': 0.8601}
