Results after 50 rounds:
Global Model results:
{'loss': 0.69, 'accuracy': 0.7439, 'f1': 0.95, 'accuracy_binary': 0.951, 'recall': 0.9194, 'precision': 0.9828}


Independent clients results:
Client 0: {'loss': 2.1267, 'accuracy': 0.7221, 'f1': 0.9402, 'accuracy_binary': 0.9401, 'recall': 0.9301, 'precision': 0.9505}
Client 1: {'loss': 3.4223, 'accuracy': 0.5531, 'f1': 0.8977, 'accuracy_binary': 0.9019, 'recall': 0.8495, 'precision': 0.9518}
Client 2: {'loss': 2.0867, 'accuracy': 0.7166, 'f1': 0.937, 'accuracy_binary': 0.9373, 'recall': 0.9194, 'precision': 0.9553}
Client 3: {'loss': 3.4223, 'accuracy': 0.5586, 'f1': 0.8837, 'accuracy_binary': 0.891, 'recall': 0.8172, 'precision': 0.962}
Client 4: {'loss': 3.0664, 'accuracy': 0.5559, 'f1': 0.9122, 'accuracy_binary': 0.9155, 'recall': 0.8656, 'precision': 0.9641}
Client 5: {'loss': 2.2193, 'accuracy': 0.7166, 'f1': 0.9322, 'accuracy_binary': 0.9319, 'recall': 0.9247, 'precision': 0.9399}
Client 6: {'loss': 2.1175, 'accuracy': 0.7084, 'f1': 0.9192, 'accuracy_binary': 0.921, 'recall': 0.8871, 'precision': 0.9538}
Client 7: {'loss': 3.0811, 'accuracy': 0.5504, 'f1': 0.9162, 'accuracy_binary': 0.9183, 'recall': 0.8817, 'precision': 0.9535}
Client 8: {'loss': 3.1873, 'accuracy': 0.5586, 'f1': 0.9213, 'accuracy_binary': 0.9237, 'recall': 0.8817, 'precision': 0.9647}
Client 9: {'loss': 2.0449, 'accuracy': 0.7166, 'f1': 0.9344, 'accuracy_binary': 0.9346, 'recall': 0.9194, 'precision': 0.95}
Client 10: {'loss': 3.5568, 'accuracy': 0.5286, 'f1': 0.9244, 'accuracy_binary': 0.9264, 'recall': 0.8871, 'precision': 0.9649}
Client 11: {'loss': 3.3888, 'accuracy': 0.5559, 'f1': 0.907, 'accuracy_binary': 0.9101, 'recall': 0.8656, 'precision': 0.9527}
Client 12: {'loss': 2.0999, 'accuracy': 0.7221, 'f1': 0.9337, 'accuracy_binary': 0.9346, 'recall': 0.9086, 'precision': 0.9602}
Client 13: {'loss': 2.068, 'accuracy': 0.7166, 'f1': 0.9286, 'accuracy_binary': 0.9292, 'recall': 0.9086, 'precision': 0.9494}
Client 14: {'loss': 2.0654, 'accuracy': 0.7221, 'f1': 0.9373, 'accuracy_binary': 0.9373, 'recall': 0.9247, 'precision': 0.9503}
Client 15: {'loss': 2.0586, 'accuracy': 0.7084, 'f1': 0.9197, 'accuracy_binary': 0.921, 'recall': 0.8925, 'precision': 0.9486}
Client 16: {'loss': 3.6555, 'accuracy': 0.5477, 'f1': 0.9301, 'accuracy_binary': 0.9292, 'recall': 0.9301, 'precision': 0.9301}
Client 17: {'loss': 3.5115, 'accuracy': 0.5286, 'f1': 0.9183, 'accuracy_binary': 0.921, 'recall': 0.8763, 'precision': 0.9645}
Client 18: {'loss': 3.1254, 'accuracy': 0.5531, 'f1': 0.8934, 'accuracy_binary': 0.8992, 'recall': 0.8333, 'precision': 0.9627}
