Results after 50 rounds:
Global Model results:
{'loss': 0.6681, 'accuracy': 0.7439, 'f1': 0.9389, 'accuracy_binary': 0.9401, 'recall': 0.9086, 'precision': 0.9713}


Independent clients results:
Client 0: {'loss': 0.8573, 'accuracy': 0.703, 'f1': 0.8876, 'accuracy_binary': 0.8937, 'recall': 0.828, 'precision': 0.9565}
Client 1: {'loss': 0.8847, 'accuracy': 0.673, 'f1': 0.8389, 'accuracy_binary': 0.8556, 'recall': 0.7419, 'precision': 0.965}
Client 2: {'loss': 0.8586, 'accuracy': 0.6975, 'f1': 0.8344, 'accuracy_binary': 0.8529, 'recall': 0.7312, 'precision': 0.9714}
Client 3: {'loss': 0.8784, 'accuracy': 0.7003, 'f1': 0.844, 'accuracy_binary': 0.861, 'recall': 0.7419, 'precision': 0.9787}
Client 4: {'loss': 0.9442, 'accuracy': 0.6676, 'f1': 0.8025, 'accuracy_binary': 0.8311, 'recall': 0.6774, 'precision': 0.9844}
Client 5: {'loss': 1.0359, 'accuracy': 0.6676, 'f1': 0.8063, 'accuracy_binary': 0.8338, 'recall': 0.6828, 'precision': 0.9845}
Client 6: {'loss': 0.9325, 'accuracy': 0.6703, 'f1': 0.8139, 'accuracy_binary': 0.8392, 'recall': 0.6935, 'precision': 0.9847}
Client 7: {'loss': 0.8371, 'accuracy': 0.7057, 'f1': 0.9034, 'accuracy_binary': 0.9074, 'recall': 0.8548, 'precision': 0.9578}
Client 8: {'loss': 0.9702, 'accuracy': 0.6676, 'f1': 0.7859, 'accuracy_binary': 0.8174, 'recall': 0.6613, 'precision': 0.9685}
Client 9: {'loss': 0.9126, 'accuracy': 0.7275, 'f1': 0.9218, 'accuracy_binary': 0.9237, 'recall': 0.8871, 'precision': 0.9593}
Client 10: {'loss': 0.8876, 'accuracy': 0.6676, 'f1': 0.8261, 'accuracy_binary': 0.8474, 'recall': 0.7151, 'precision': 0.9779}
Client 11: {'loss': 0.8039, 'accuracy': 0.6812, 'f1': 0.8639, 'accuracy_binary': 0.8747, 'recall': 0.7849, 'precision': 0.9605}
Client 12: {'loss': 0.8459, 'accuracy': 0.7003, 'f1': 0.8812, 'accuracy_binary': 0.8883, 'recall': 0.8172, 'precision': 0.956}
Client 13: {'loss': 0.813, 'accuracy': 0.7084, 'f1': 0.8997, 'accuracy_binary': 0.9046, 'recall': 0.8441, 'precision': 0.9632}
Client 14: {'loss': 0.9082, 'accuracy': 0.703, 'f1': 0.8545, 'accuracy_binary': 0.8692, 'recall': 0.7581, 'precision': 0.9792}
Client 15: {'loss': 0.8616, 'accuracy': 0.6921, 'f1': 0.8434, 'accuracy_binary': 0.8583, 'recall': 0.7527, 'precision': 0.9589}
Client 16: {'loss': 0.9138, 'accuracy': 0.6975, 'f1': 0.9045, 'accuracy_binary': 0.9074, 'recall': 0.8656, 'precision': 0.9471}
Client 17: {'loss': 0.9687, 'accuracy': 0.7003, 'f1': 0.9076, 'accuracy_binary': 0.9101, 'recall': 0.871, 'precision': 0.9474}
Client 18: {'loss': 0.9336, 'accuracy': 0.7193, 'f1': 0.9183, 'accuracy_binary': 0.921, 'recall': 0.8763, 'precision': 0.9645}
